# ronantakizawa/github-codereview 에서 사람이 선별한 샘플 목록
#
# 형식: owner/repo#PR번호 <TAB> 확정 카테고리
#
# 데이터셋의 comment_type 은 참고용 1차 라벨입니다. 리뷰 댓글과 diff 를 직접 읽고
# Contextory 평가 유형 체계에 맞게 카테고리를 확정했습니다.
# scripts/build_test_samples.py 가 이 파일을 기준으로 샘플을 선택합니다.
#
# 제외한 9건과 사유:
#   DrewThomasson/ebook2audiobook#1290  - #1289 와 diff·지적이 거의 동일
#   Avaiga/taipy#1304                   - 문서 문자열 표현 수정에 그침
#   4ian/GDevelop#7052                  - 리뷰어가 "동작 변화 없음"이라고 밝힘
#   4ian/GDevelop#7077                  - 오타 한 글자 수정 제안
#   Alamofire/Alamofire#504             - 릴리스 노트로 옮기자는 제안, 코드 문제 아님
#   All-Hands-AI/OpenHands#9666         - 목록에 모델명 한 줄 추가
#   All-Hands-AI/OpenHands#10208        - 구현 방향 질문, 문제 지적 아님
#   Automattic/pocket-casts-android#4010 - 표현식 작성 스타일 선호
#   Automattic/pocket-casts-ios#1614    - 장기 구조 개선 의견, 이 변경의 문제 아님

# --- 보안 (4) ---
DrewThomasson/ebook2audiobook#1289	security
DrewThomasson/ebook2audiobook#1291	security
CryptoBlades/cryptoblades#582	security
FiloSottile/mkcert#38	security

# --- N+1 / 반복 조회 (1) ---
Chia-Network/chia-blockchain#19609	n_plus_one

# --- 성능 (5) ---
Chia-Network/chia-blockchain#19630	performance
DiceDB/dice#197	performance
Automattic/pocket-casts-ios#3005	performance
DiceDB/dice#229	performance
CryptoBlades/cryptoblades#1349	performance

# --- 기능 오류 (4) ---
AvaloniaUI/Avalonia#1350	functional_bug
AvaloniaUI/Avalonia#1774	functional_bug
Avaiga/taipy#1224	functional_bug
All-Hands-AI/OpenHands#9566	functional_bug

# --- API 계약 (3) ---
DiceDB/dice#458	api_contract
Avaiga/taipy#1042	api_contract
Automattic/pocket-casts-ios#1602	api_contract

# --- 예외 처리·안정성 (3) ---
Alamofire/Alamofire#24	exception_handling
Automattic/pocket-casts-android#4002	exception_handling
4ian/GDevelop#6970	exception_handling

# --- 리팩터링 (7) ---
AvaloniaUI/Avalonia#1450	refactoring
Chia-Network/chia-blockchain#19713	refactoring
CodeEditApp/CodeEdit#334	refactoring
CodeEditApp/CodeEdit#232	refactoring
CodeEditApp/CodeEdit#608	refactoring
Automattic/pocket-casts-android#3998	refactoring
Alamofire/Alamofire#494	refactoring

# --- 정상 대조군 (5) : reviewer_comment 가 "No issues found." 인 행 ---
AykutSarac/jsoncrack.com#62	control
AykutSarac/jsoncrack.com#469	control
Azure/azure-rest-api-specs#40154	control
Azure/azure-rest-api-specs#40303	control
Azure/azure-rest-api-specs#40396	control
